,name,track_id,album,artist,artist_id,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,playlist
0,2 AM,3g3RCV5ImXwzHpKwM2iunc,Pure Infinity,SwaVay,29gIYsdyccGoUc6qgkZeTK,2019-05-24,198577,55,51,"['atl hip hop', 'indie hip hop', 'underground hip hop']",0.434,0.783,0.341,9.85e-05,0.362,-12.353,0.0727,126.799,0.184,7,1,4,but my feet in bottega
1,Golden Child,04QWC97Dvd9g0IEDoyUDBX,Lady Wrangler,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,2018-10-05,177773,46,56,['pop rap'],0.362,0.792,0.591,1.89e-06,0.36,-8.848,0.29,151.029,0.365,0,1,4,but my feet in bottega
2,Eazy,6Ab81Bs9fcOwaTYuBsUUpI,Eazy,The Game,0NbfKEOTQCcwd6o7wSDOHI,2022-01-15,234288,65,74,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",0.167,0.716,0.551,0.0,0.197,-6.987,0.47,82.393,0.305,1,1,4,but my feet in bottega
3,MoshPit (feat. Juice WRLD),4KX8vXbouybtUptEyYxtIk,Dying to Live,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,2018-12-14,164038,63,82,"['florida drill', 'florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",0.394,0.769,0.627,0.0,0.106,-4.064,0.262,157.938,0.49,7,1,4,but my feet in bottega
4,Memphis,7yPjeaoQlwF8tfbnAhNO2v,Halfway Off the Porch,AG Club,22KyrgRdE2K6aB5wtZls3c,2020-01-25,200463,35,51,"['indie hip hop', 'indie r&b', 'rap', 'underground hip hop']",0.162,0.545,0.627,0.0,0.226,-7.977,0.525,74.475,0.486,1,1,4,but my feet in bottega
5,66,6tarvNiKnEjYMj1VZhlDqR,Lil Boat 2,Lil Yachty,6icQOAFXDZKsumw3YXyusw,2018-03-09,153474,62,78,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap']",0.0455,0.667,0.723,0.000193,0.213,-4.31,0.27,148.058,0.251,5,0,4,but my feet in bottega
6,Sober (feat. Roddy Ricch & Post Malone),0AzqJBVMdHP9ijAadQ0T18,I GOT ISSUES,YG,0A0FS04o6zMoto8OKPsDwY,2022-09-30,253913,66,76,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.12,0.671,0.46,0.0,0.106,-8.643,0.215,83.877,0.298,7,0,4,but my feet in bottega
7,Hell Yeah,6vHqwF6vPWQbiziFzqy8U0,Only Built For Infinity Links,Quavo,0VRj0yCOv2FXJNP47XQnx5,2022-10-07,213333,57,81,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap']",0.258,0.796,0.566,0.0,0.225,-4.594,0.0823,162.014,0.499,0,1,4,but my feet in bottega
8,Aston Martin Truck,1KaRuTOGchQyTnrY3vWzfR,Aston Martin Truck,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,2022-10-21,180240,73,81,"['melodic rap', 'rap', 'trap']",0.194,0.749,0.548,0.0,0.16,-6.223,0.352,153.855,0.581,5,0,4,but my feet in bottega
9,Yungen (feat. Jack Harlow),1NtyeXryylf8HWXnxVTD3v,Beautiful Mind,Rod Wave,45TgXXqMDdF8BkjA83OM7z,2022-08-12,226115,70,80,['florida rap'],0.309,0.614,0.744,1.14e-06,0.173,-5.52,0.125,146.02,0.589,11,1,4,but my feet in bottega
